Relative File path,File name,Season,Episode,Actors,Characters,Keywords,Title,Size,Dimensions,Credit,Device make,Device model,Color space,Color profile,Focal length,Description,Alpha channel,Red eye,Metering mode,F number,Exposure program,Exposure time,Instructions
visual-media-imagery/WW/0100027.jpg,,1,,Freya Allan,Princess Cirilla 'Ciri' of Cintra,,,"26,4 MB",8280 x 6208,,Phase One,IQ150,RGB,Adobe RGB (1998),110 mm,,No,,Unknown,"f/4,5",0,1/125,
visual-media-imagery/WW/1104_SWA_0120_v1033.1098.jpg,1104_SWA_0120_v1033.1098.jpg,1,,Henry Cavill,Geralt of Rivia,,,721 KB,4268 x 2400,,,,RGB,sRGB IEC61966-2.1,,,No,,,,,,
visual-media-imagery/WW/CIRI_WOODS_C_0018_Retouched.fkczknrhf-copy.jpg,CIRI_WOODS_C_0018_Retouched.fkczknrhf-copy.jpg,1,,Freya Allan,Princess Cirilla 'Ciri' of Cintra,,,"11,5 MB",8280 x 6208,,Phase One,IQ150,RGB,Adobe RGB (1998),150 mm,,No,,Unknown,"f/4,5",0,1/125,
visual-media-imagery/WW/EXCLU1.jpg,EXCLU1.jpg,1,,"Björn Hlynur Haraldsson, Jodhi May, Freya Allan","Eist Tuirseach, Queen Calanthe, Princess Cirilla 'Ciri' of Cintra",,,"1,2 MB",3931 x 2878,,,,RGB,sRGB IEC61966-2.1,,,No,,,,,,
visual-media-imagery/WW/Netflix_TheWitcher_IG-GRID_Phase001_PRE_09-ee7e.jpg,Netflix_TheWitcher_IG-GRID_Phase001_PRE_09-ee7e.jpg,1,,Anya Chalotra,Yennefer of Vengerberg,,,21 MB,7849 x 5885,,Phase One,IQ150,RGB,AdobeRGB (1998),60 mm,,No,,Unknown,"f/7,1",0,1/640,
visual-media-imagery/WW/WW_HenryCavill_firstlook_219_DIGITAL_2.jpg,WW_HenryCavill_firstlook_219_DIGITAL_2.jpg,1,,Henry Cavill,Geralt of Rivia,,,"3,7 MB",5860 x 3907,,,,RGB,sRGB IEC61966-2.1,,,No,,,,,,
visual-media-imagery/WW/james_minchin-witcher_yennefer_overlook_0079_as.jpg,james_minchin-witcher_yennefer_overlook_0079_as.jpg,1,,Anya Chalotra,Yennefer of Vengerberg,,,"26,1 MB",8280 x 6208,,Phase One,IQ150,RGB,AdobeRGB (1998),100 mm,,No,,Unknown,"f/7,1",0,1/500,
visual-media-imagery/WW/0101002.jpg,,1,1,,,,,"14,5 MB",6016 x 4016,Katalin Vermes ,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),75 mm,WW_101_08.01.2019_136.NEF,No,No,Spot,"f/3,2",Manual,1/125,(FSC:RR)
visual-media-imagery/WW/Witcher_101_Unit_00174_RT.f3jzyww8df.jpg,Witcher_101_Unit_00174_RT.f3jzyww8df.jpg,1,1,Henry Cavill,Geralt of Rivia,,,"12,6 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,sRGB IEC61966-2.1,86 mm,WW_101_03.11.2018_174.NEF,No,No,Spot,"f/4,5",Manual,1/320,(FSC:{JH})
visual-media-imagery/WW/GRADED_Witcher_101_Unit_00178.jpg,GRADED_Witcher_101_Unit_00178.jpg,1,1,,,,,"13,8 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),62 mm,WW_101_03.11.2018_178.NEF,No,No,Spot,"f/4,5",Manual,1/125,(FSC:{JH})
visual-media-imagery/WW/GRADED_Witcher_101_Unit_01756.jpg,GRADED_Witcher_101_Unit_01756.jpg,1,1,Lars Mikkelsen,Stregobor,,,16 MB,6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),45 mm,WW_101_07.11.2018_81.NEF,No,No,Spot,"f/3,5",Manual,1/500,(FSC:RR)
visual-media-imagery/WW/GRADED_Witcher_101_Unit_02326.jpg,GRADED_Witcher_101_Unit_02326.jpg,1,1,"Sonny Ashbourne Serkis, Freya Allan","Martin, Princess Cirilla 'Ciri' of Cintra",,,"14,2 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),50 mm,WW_101_12.11.2018_116.NEF,No,No,Spot,"f/3,5",Manual,1/400,
